Código,Producto,Equipo,Equipación,Año,Talla,Tipo Dorsal,Dorsal Personalizado,Parches,Tipo Manga/Gorra,Descripción,Cantidad,Almacen/Ubicación,Costo,P. Venta,Proveedor,Cliente,Teléfono,Fecha Registro,Nota
"YOLO-8M27X0","camiseta de fútbol","JAMAICA","Local","2026","M","nombre y Número","MARLEY","REGAE BOYZ","Manga corta","BOB MARLIN","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM","MUNDIAL 2026"
"YOLO-EH17UM","camiseta de fútbol","VENEZUELA","Local","2024","8","Sin dorsal","","FIFA 2026 QUALIFIQUER ","Manga corta","NIÑO ","1","F2","11","30","HUMBOLD SRA RITA 3ER PISO ","","","25/03/2026 4:32 PM","COPA AMERICA "
"YOLO-HJPVGT","camiseta de fútbol","MANCHESTER UNITED","Retro","2008","S","nombre y Número","RONALDO #7","PREMIER LEAGUE","manga larga","RETRO ROJA","1","F2","11","40","","","","25/03/2026 4:32 PM","MANCHESTER UNITED 2008 "
"YOLO-OZ6MD7","camiseta de fútbol","AL NASSR","Local","2024","L","nombre y Número","Cristiano Ronaldo #7","SIN PARCHE","Manga corta","","1","F2","11","30","","","","25/03/2026 4:32 PM","AL NASSR AMARILLA 24/25 LOCAL - Talla L- CRISTIANO RONALDO #7 - SIN PARCHE"
"YOLO-2B1F3K","camiseta de fútbol","AL NASSR","Visitante","2024","S","nombre y Número","Cristiano Ronaldo #7","","Manga corta","","1","F2","11","30","","","","25/03/2026 4:32 PM","AL NASSR AZUL MARINO 24/25 VISITANTE - Talla S - CRISTIANO RONALDO #7"
"YOLO-Y7RSCK","camiseta de fútbol","AL NASSR","Visitante","2024","XL","nombre y Número","Cristiano Ronaldo #7","","Manga corta","","1","F2","11","30","","","","25/03/2026 4:32 PM","AL NASSR AZUL MARINO 24/25 VISITANTE - Talla XL - CRISTIANO RONALDO #7 -"
"YOLO-4FMBHR","camiseta de fútbol","ATLETICO MADRID","Local","2024","L","nombre y Número","julian alvarez #19","LA LIGA","Manga corta","","1","F2","11","30","","","","25/03/2026 4:32 PM","ATLETICO MADRID ARANA 24/25 LOCAL - Talla L - JULIAN ALVAREZ #19 - LA LIGA"
"YOLO-P5PJNM","camiseta de fútbol","PORTUGAL","Local","2026","L","nombre y Número","RONALDO #7","","Manga corta","MUNDIAL 2026","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-JOXLXU","camiseta de fútbol","BARCELONA","Local","2025","S","nombre y Número","LAMINE YAMAL  #10","CHAMPIONS ","Manga corta","25/26","1","F4","11","38","","","","25/03/2026 4:32 PM","BARCELONA 25/26 LOCAL - Talla L- YAMAL 10"
"YOLO-T6OL6P","camiseta de fútbol","ATLETICO MADRID","Local","2024","S","nombre y Número","julian alvarez #19","LA LIGA","Manga corta","","1","F2","11","30","","","","25/03/2026 4:32 PM","ATLETICO MADRID ARANA 24/25 LOCAL ESP - Talla S - JULIAN ALVAREZ #19 - LA LIGA"
